mileage,age,horsepower,wheelbase,price
30000,3,130,88.6,15000
50000,5,115,99.4,12000
40000,4,140,94.5,14000
80000,8,110,105.8,9000
60000,6,120,99.8,11000
20000,2,150,96.5,20000
70000,7,100,102.0,8500
45000,4,135,94.0,14500
55000,5,125,98.0,12500
35000,3,160,97.5,21000
90000,9,105,106.0,7800
25000,2,170,95.0,22000
65000,6,130,100.0,13000
30000,3,155,99.0,19500
72000,7,120,104.5,9500
15000,1,180,97.0,25000
85000,10,95,108.0,7000
48000,5,145,96.0,16000
52000,6,135,99.5,14000
27000,2,175,98.5,23000
